RykHawthorn/asdf-tflint,RykHawthorn,asdf-tflint,https://github.com/RykHawthorn/asdf-tflint.git,MIT License,x,x,2018-08-28T15:31:46Z
skyzyx/asdf-tflint,skyzyx,asdf-tflint,https://github.com/skyzyx/asdf-tflint.git,Apache License 2.0,y,x,2020-01-31T02:41:10Z
